Occam's Razor|"Among competing hypotheses, the one with the fewest assumptions should be selected."
Hanlon's Razor|"Never attribute to malice what can be adequately explained by stupidity."
The Pareto Principle|"80% of the effects stem from 20% of the causes."
Dunning-Kruger Effect|"Unskilled persons tend to mistakenly assess their own abilities as being much more competent than they actually are."
Linus's Law|"Given enough eyeballs, all bugs are shallow."
Postel's Law|"Be conservative in what you do, be liberal in what you accept from others."
Eagleson's Law|"Any code of your own that you haven't looked at for six or more months might as well have been written by someone else."
Peter Principle|"The selection of a candidate for a position is based on the candidate's performance in their current role, rather than on abilities relevant to the intended role."
Dilbert Principle|"Incompetent workers will be promoted above competent workers to managerial positions, thus removing them from the actual work and minimizing the damage they can do."
Hofstadter's Law|"It always takes longer than you expect, even when you take into account Hofstadter's Law."
The 90-90 Rule|"The first 90 percent of the code accounts for the first 90 percent of the development time. The remaining 10 percent of the code accounts for the other 90 percent of the development time."
Parkinson's Law|"Work expands so as to fill the time available for its completion."
Sayre's Law|"In any dispute the intensity of feeling is inversely proportional to the value of the issues at stake."
Parkinson's Law of Triviality|"The time spent on any agenda item will be in inverse proportion to the sum of money involved."
Law of Argumentative Comprehension|"The more people understand something, the more willing they are to argue about it, and the more vigorously they will do so."
Sheldon Solomon|"The essence of lunacy is seeing thing too clearly"
Charles Babbage|"On two occasions I have been asked, 'If you put into a machine wrong figures, will the right answers come out?' I am not able rightly to apprehend the kind of confusion of ideas that could provoke such a question"
Senator Palpatine|"Unlimited power"
Cunningham's Law|"The best way to get the right answer on the Internet is not to ask a question, it's to post the wrong answer."
Hemingway|"We are all apprentices in a craft where no one ever becomes a master."
R2D2|"Beep beep bweopp bop bweeeeee"
Bill Gates|"Measuring programming progress by lines of code is like measuring aircraft building progress by weight."
L. Peter Deutsch|"To iterate is human, to recurse divine."
Brian W. Kernighan|"Debugging is twice as hard as writing the code in the first place. Therefore, if you write the code as cleverly as possible, you are, by definition, not smart enough to debug it."
Edward V Berard|"Walking on water and developing software from a specification are easy if both are frozen."
Hofstadter's Law|"It always takes longer than you expect, even when you take into account Hofstadter's Law. "
Frank Lloyd Wright|"You can use an eraser on the drafting table or a sledgehammer on the construction site"
Computer community|"There are 2 hard problems in computer science: cache invalidation, naming things, and off-by-1 errors."
The Mythical Man-Month|"Nine people can't make a baby in a month."
Tom Cargill|"The first 90% of the code accounts for the first 90% of the development time. The remaining 10% of the code accounts for the other 90% of the development time."
Edsger Dijkstra|"Computer Science is no more about computers than astronomy is about telescopes"
Benjamin Disraeli|"The fool wonders, the wise man asks."
